CÓDIGO;EAN;DESCRIPCION;Unidades / Caja;Unidades / Embalaje;Pedido Minimo; TARIFA 2025 ;DTO 1;DTO CUSTAB;NETO CUSTAB;NETO UDS CUSTAB;NETO PROMO CUSTAB;NPC UDS;DTO PARTNER;NETO PARTNER;NETO UDS PARTNER;NETO PROMO CUSTAB;NPP UDS; DTO PROMO Q;PROMO X FAMILIA;FAMILIA PRODUCTO;CORE/STRATEGIC
503493;3086123679412;CRISTAL 1.6 FUN P8 AST EU;8;10;10;4,34;25%;14%;2,799 €;0,350 €;;;14%;2,799 €;0,350 €;;;;;;CORE
895793;3086123272101;CRISTAL 1.6 FASHION B20 AST EU;20;18;1;5,30;25%;14%;3,419 €;0,171 €;3,077 €;0,154 €;14%;3,419 €;0,171 €;3,077 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL FUN;CORE
921342;3086123356146;CRISTAL 1.6 FUN P10 AST EU;10;20;20;5,17;25%;14%;3,335 €;0,333 €;;;14%;3,335 €;0,333 €;;;;;;CORE
524176;3086123764064;CRISTAL 1.6 FUN BOX10 AST EU;10;20;20;5,17;25%;14%;3,335 €;0,333 €;;;14%;3,335 €;0,333 €;;;;;;CORE
927885;3086123388703;CRISTAL 1.6 FUN LM BCL B20 EU;20;18;1;5,30;25%;14%;3,419 €;0,171 €;;;14%;3,419 €;0,171 €;;;;;;CORE
929055;3086123395817;CRISTAL 1.6 FUN PRP BCL B20 EU;20;18;1;5,30;25%;14%;3,419 €;0,171 €;3,077 €;0,154 €;14%;3,419 €;0,171 €;3,077 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL FUN;CORE
929056;3086123395824;CRISTAL 1.6 FUN PNK BCL B20 EU;20;18;1;5,30;25%;14%;3,419 €;0,171 €;3,077 €;0,154 €;14%;3,419 €;0,171 €;3,077 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL FUN;CORE
929074;3086123396005;CRISTAL 1.6 FUN TRQ BCL B20 EU;20;18;1;5,30;25%;14%;3,419 €;0,171 €;3,077 €;0,154 €;14%;3,419 €;0,171 €;3,077 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL FUN;CORE
8957921;3086123272095;CRISTAL 1.6 FUN PO4 AST EU;4;20;20;2,22;25%;14%;1,432 €;0,358 €;;;14%;1,432 €;0,358 €;;;;;;CORE
524173;3086123764033;CRISTAL 1.6 FUN BOX4 AST EU;4;20;20;2,22;25%;14%;1,432 €;0,358 €;;;14%;1,432 €;0,358 €;;;;;;CORE
8963811;3086123281257;CRISTAL 1.6 FUN PO6+2 AST EU;8;20;20;3,33;25%;14%;2,148 €;0,268 €;;;14%;2,148 €;0,268 €;;;;;;CORE
524175;3086123764057;CRISTAL 1.6 FUN BOX6+2 AST EU;8;20;20;3,33;25%;14%;2,148 €;0,268 €;;;14%;2,148 €;0,268 €;;;;;;CORE
992603;3086123594142;CRISTAL EXACT BCL B20 BLK EU;20;50;1;5,30;25%;14%;3,419 €;0,171 €;3,077 €;0,154 €;14%;3,419 €;0,171 €;3,077 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL EXACT;CORE
992604;3086123594159;CRISTAL EXACT BCL B20 RED EU;20;50;1;5,30;25%;14%;3,419 €;0,171 €;;;14%;3,419 €;0,171 €;;;;;;CORE
992605;3086123594166;CRISTAL EXACT BCL B20 BLU EU;20;50;1;5,30;25%;14%;3,419 €;0,171 €;3,077 €;0,154 €;14%;3,419 €;0,171 €;3,077 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL EXACT;CORE
949871;3086123494640;CRISTAL UP AST BL4 EU;4;20;20;2,53;25%;14%;1,632 €;0,408 €;;;14%;1,632 €;0,408 €;;;;;;CORE
524177;3086123764071;CRISTAL UP AST BOX4 EU;4;20;20;2,53;25%;5%;1,803 €;0,451 €;;;9%;1,727 €;0,432 €;;;;;;STRATEGIC
949875;3086123494688;CRISTAL UP BLU BL4 EU;4;20;20;2,53;25%;14%;1,632 €;0,408 €;;;14%;1,632 €;0,408 €;;;;;;CORE
524178;3086123764088;CRISTAL UP BLU BOX4 EU;4;20;20;2,53;25%;5%;1,803 €;0,451 €;;;9%;1,727 €;0,432 €;;;;;;STRATEGIC
949879;3086123494725;CRISTAL UP BLU BCL B20 EU;20;50;1;6,85;25%;14%;4,418 €;0,221 €;3,976 €;0,199 €;14%;4,418 €;0,221 €;3,976 €;0,199 €;10%;PROMO 10% ADICIONAL;CRISTAL UP;CORE
949880;3086123494732;CRISTAL UP BLK BCL B20 EU;20;50;1;6,85;25%;14%;4,418 €;0,221 €;3,976 €;0,199 €;14%;4,418 €;0,221 €;3,976 €;0,199 €;10%;PROMO 10% ADICIONAL;CRISTAL UP;CORE
949870;3086123494633;CRISTAL UP FUN BL4 EU;4;20;20;2,53;25%;14%;1,632 €;0,408 €;;;14%;1,632 €;0,408 €;;;;;;CORE
524179;3086123764095;CRISTAL UP FUN AST BOX4 EU;4;20;20;2,53;25%;5%;1,803 €;0,451 €;;;9%;1,727 €;0,432 €;;;;;;STRATEGIC
950446;3086123498341;CRISTAL UP FUN BCL B20 EU;20;50;1;6,85;25%;14%;4,418 €;0,221 €;;;14%;4,418 €;0,221 €;;;;;;CORE
501079;3086123340701;CRISTAL SOFT BLACK PO4 EU;4;100;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
516342;3086123734647;CRISTAL SOFT BOX04 BLACK EU;4;120;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
501080;3086123340763;CRISTAL SOFT BLUE PO10 EU;10;40;10;4,67;25%;14%;3,012 €;0,301 €;;;14%;3,012 €;0,301 €;;;;;;CORE
516357;3086123734791;CRISTAL SOFT BOX10 BLUE EU;10;60;10;4,67;25%;14%;3,012 €;0,301 €;;;14%;3,012 €;0,301 €;;;;;;CORE
982861;3086123340718;CRISTAL SOFT BLUE PO4 EU;4;100;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
516341;3086123734630;CRISTAL SOFT BOX04 BLUE EU;4;120;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
982862;3086123340749;CRISTAL SOFT AST PO4 EU;4;100;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
516343;3086123734654;CRISTAL SOFT BOX04 AST EU;4;120;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
937555;3086123438156;CRISTAL SOFT BLU PO5 EU;5;20;20;2,43;25%;14%;1,567 €;0,313 €;;;14%;1,567 €;0,313 €;;;;;;CORE
516347;3086123734692;CRISTAL SOFT BOX05 BLUE EU;5;120;10;2,43;25%;14%;1,567 €;0,313 €;;;14%;1,567 €;0,313 €;;;;;;CORE
918531;3086123340756;CRISTAL SOFT BLACK PO10 EU;10;20;20;4,67;25%;14%;3,012 €;0,301 €;;;14%;3,012 €;0,301 €;;;;;;CORE
516358;3086123734807;CRISTAL SOFT BOX10 BLACK EU;10;60;10;4,67;25%;14%;3,012 €;0,301 €;;;14%;3,012 €;0,301 €;;;;;;CORE
982863;3086123340770;CRISTAL SOFT AST PO10 EU;10;40;10;4,67;25%;14%;3,012 €;0,301 €;;;14%;3,012 €;0,301 €;;;;;;CORE
516359;3086123734814;CRISTAL SOFT BOX10 AST EU;10;60;10;4,67;25%;14%;3,012 €;0,301 €;;;14%;3,012 €;0,301 €;;;;;;CORE
937554;3086123432949;CRISTAL SOFT AST PO5 EU;5;20;20;2,43;25%;14%;1,567 €;0,313 €;;;14%;1,567 €;0,313 €;;;;;;CORE
516574;3086123735927;CRISTAL SOFT BOX05 AST EU;5;120;10;2,43;25%;14%;1,567 €;0,313 €;;;14%;1,567 €;0,313 €;;;;;;CORE
9212131;3086123354852;CRISTAL SOFT PO20 FS 18 EU;20;20;20;6,74;25%;14%;4,347 €;0,217 €;;;14%;4,347 €;0,217 €;;;;;;CORE
524172;3086123764026;CRISTAL SOFT BOX20 FS 24 EU;20;30;1;6,74;25%;14%;4,347 €;0,217 €;;;14%;4,347 €;0,217 €;;;;;;CORE
951433;3086123355354;CRISTAL SOFT B50 BCL BLACK EU;50;20;1;13,26;25%;14%;8,553 €;0,171 €;7,697 €;0,154 €;14%;8,553 €;0,171 €;7,697 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL SOFT;CORE
951434;3086123355361;CRISTAL SOFT B50 BCL BLUE EU;50;20;1;13,26;25%;14%;8,553 €;0,171 €;7,697 €;0,154 €;14%;8,553 €;0,171 €;7,697 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL SOFT;CORE
9185201;3086123340640;CRISTAL SOFT B50 BCL RED EU;50;20;1;13,26;25%;14%;8,553 €;0,171 €;7,697 €;0,154 €;14%;8,553 €;0,171 €;7,697 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL SOFT;CORE
9212191;3086123354913;CRISTAL SOFT B50 BCL GREEN EU;50;20;1;13,26;25%;14%;8,553 €;0,171 €;;;14%;8,553 €;0,171 €;;;;;;CORE
872721;3086123134386;CRISTAL FINE 08 PO4 BLUE EU;4;100;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
516338;3086123734609;CRISTAL FINE 08 BOX04 BLUE EU;4;120;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
872726;3086123134430;CRISTAL FINE 08 PO4 BLACK EU;4;100;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
516339;3086123734616;CRISTAL FINE 08 BOX04 BLACK EU;4;120;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
872725;3086123134423;CRISTAL FINE 08 POUCH 4 AST EU;4;100;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
516340;3086123734623;CRISTAL FINE 08 BOX04 AST EU;4;120;10;2,03;25%;14%;1,309 €;0,327 €;;;14%;1,309 €;0,327 €;;;;;;CORE
872720;3086123134379;CRISTAL FINE08 BX50 RED BCL EU;50;20;1;13,26;25%;14%;8,553 €;0,171 €;7,697 €;0,154 €;14%;8,553 €;0,171 €;7,697 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL FINE;CORE
8308521;3086121601217;ORANGE FINE POUCH4 BLUE EU;4;100;10;1,99;25%;5%;1,418 €;0,354 €;;;9%;1,358 €;0,340 €;;;;;;STRATEGIC
516336;3086123734586;ORANGE FINE BOX04 BLUE EU;4;120;10;1,99;25%;5%;1,418 €;0,354 €;;;9%;1,358 €;0,340 €;;;;;;STRATEGIC
872729;3086123134461;CRISTAL FINE08 BX50 GRN BCL EU;50;20;1;13,26;25%;14%;8,553 €;0,171 €;7,697 €;0,154 €;14%;8,553 €;0,171 €;7,697 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL FINE;CORE
872730;3086123134478;CRISTAL FINE08 BX50 BLU BCL EU;50;20;1;13,26;25%;14%;8,553 €;0,171 €;7,697 €;0,154 €;14%;8,553 €;0,171 €;7,697 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL FINE;CORE
872731;3086123134485;CRISTAL FINE08 BX50 BLCKBCL EU;50;20;1;13,26;25%;14%;8,553 €;0,171 €;7,697 €;0,154 €;14%;8,553 €;0,171 €;7,697 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL FINE;CORE
8803312;3086123134393;CRISTAL FINE POUCH 27FS 18 FR;27;24;24;8,98;25%;14%;5,792 €;0,215 €;;;14%;5,792 €;0,215 €;;;;;;CORE
526290;3086123771024;CRISTAL FINE BOX 27 FS 24 FR;27;24;24;8,98;25%;14%;5,792 €;0,215 €;;;14%;5,792 €;0,215 €;;;;;;CORE
9122731;3086123331662;CRIST.FINE PO20 FSPECIAL 18 FR;20;20;20;8,98;25%;14%;5,792 €;0,290 €;;;14%;5,792 €;0,290 €;;;;;;CORE
526291;3086123771031;ST CRISTAL FINE BOX20 FS 24 FR;20;20;20;8,98;25%;14%;5,792 €;0,290 €;;;14%;5,792 €;0,290 €;;;;;;CORE
880648;3086123175495;CRISTAL LARG1.6 BOX50 BLACK EU;50;20;1;13,26;25%;14%;8,553 €;0,171 €;7,697 €;0,154 €;14%;8,553 €;0,171 €;7,697 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL LARGE;CORE
880656;3086123175570;CRISTAL LARGE1.6 BOX50 BLUE EU;50;20;1;13,26;25%;14%;8,553 €;0,171 €;7,697 €;0,154 €;14%;8,553 €;0,171 €;7,697 €;0,154 €;10%;PROMO 10% ADICIONAL;CRISTAL LARGE;CORE
888746;3086123175518;CRISTAL 1.6 POUCH5 BLUE EU;5;10;10;2,53;25%;14%;1,632 €;0,326 €;;;14%;1,632 €;0,326 €;;;;;;CORE
524215;3086123764453;CRISTAL 1.6 BOX5 BLUE EU;5;10;10;2,53;25%;14%;1,632 €;0,326 €;;;14%;1,632 €;0,326 €;;;;;;CORE
888753;3086123175648;CRISTAL 1.6 POUCH5 BLACK EU;5;10;10;2,53;25%;14%;1,632 €;0,326 €;;;14%;1,632 €;0,326 €;;;;;;CORE
